data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7871263,31,AZE17134,17134,"18 January 2021",2021,2,"Violence against civilians",Attack,"Military Forces of Azerbaijan (2003-)",,1,"Civilians (Azerbaijan)",,7,17,"Caucasus and Central Asia",Azerbaijan,Hadrut,,,Hadrut,39.5162,47.0325,2,"News Am",Regional,"Around 18 January 2021, relatives of a person from Artsakh, who was reportedly held captive by the Azerbaijani military forces in a village near Hadrut city, claimed that he was killed. His body was recovered buried near Hadrut city. Not clear if the captive was a soldier, he was taken from his home by Azerbijani forces in October 2020. [coded to Hadrut with GP2]",1,1618598519,AZE
7382890,51,ARM4968,4968,"08 December 2020",2020,1,"Violence against civilians",Attack,"Police Forces of Armenia (2018-)",,1,"Civilians (Armenia)","ARFD: Armenian Revolutionary Federation; Prisoners (Armenia)",7,17,"Caucasus and Central Asia",Armenia,Ararat,Artashat,,Artashat,39.9565,44.5457,1,Yerkir,National,"On 8 December 2020, a member of Armenian Revolutionary Federation, who was detained after a brawl during a demonstration in Ararat on the same day against the prime minister of Armenia, was beaten by the police in the police department of Artashat.",0,1607963814,ARM
7871275,31,AZE17108,17108,"03 December 2020",2020,1,"Violence against civilians",Attack,"Military Forces of Azerbaijan (2003-)",,1,"Civilians (Azerbaijan)",,7,17,"Caucasus and Central Asia",Azerbaijan,Martuni,,,Khojavend,39.795,47.1117,2,"News Am",Regional,"On 3 December 2020, a civilian from Artsakh was beaten and killed by the Azerbaijani soldiers after he got lost and crossed the line of contact near Martuni (Khojavend) city.",1,1618598519,AZE
7302834,31,AZE17088,17088,"10 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Azerbaijan (2003-)",,1,"Civilians (Azerbaijan)",,7,17,"Caucasus and Central Asia",Azerbaijan,Stepanakert,,,Stepanakert,39.8246,46.7535,1,"Aysor Am",Regional,"On 10 November 2020, an unknown number of civilians from Artsakh were wounded in the shelling of Stepanakert city by Azerbaijani forces.",0,1605565622,AZE
7302792,31,AZE17076,17076,"09 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Azerbaijan (2003-)",,1,,,0,10,"Caucasus and Central Asia",Azerbaijan,Stepanakert,,,Stepanakert,39.8246,46.7535,1,A1+,Regional,"On 9 November 2020, Stepanakert city was shelled by Azerbaijani forces. No casualties occured.",0,1605565622,AZE
7746990,31,AZE17039,17039,"09 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Armenia (2018-)",,8,"Military Forces of Azerbaijan (2003-)",,1,18,"Caucasus and Central Asia",Azerbaijan,Gadabay,,,Gadabay,40.5742,45.8144,2,"Human Rights Ombudsman Of The Republic Of Artsakh; AzVision; Ministry of Defence of Azerbaijan; Aysor Am",Other-National,"On 9 November 2020, the Azerbaijani military position in Gadabay region was shelled by the military forces of Armenia located in Berd and Chambarak, according to the ministry of defence of Azerbaijan [coded to Gadabay with GP2]. There is no information on casualties mentioned by the source. As of 3 March 2021, Azerbaijani forces announced 2881 fatalities, Armenian forces announced 3777 fatalities. Fatalities were not disaggregated according to locations or date. The previously-coded specific number of fatalities are subtracted from these overall numbers. Additionally, for the Armenian side, 72 civilian fatalities reported by the Artsakh Ombudsman were subtracted from the overall number of fatalities as fatalities announced by Armenian sources included civilians. Total of 5527 fatalities are split across 421 events (13 fatalities coded to 367 events, 14 fatalities coded to 54 events).",13,1615848040,AZE
7747028,31,AZE17080,17080,"09 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Armenia (2018-)",,8,"Military Forces of Azerbaijan (2003-)",,1,18,"Caucasus and Central Asia",Azerbaijan,Tovuz,,,Tovuz,40.9924,45.6159,2,"Aysor Am; Human Rights Ombudsman Of The Republic Of Artsakh; AzVision; Ministry of Defence of Azerbaijan",Other-National,"On 9 November 2020, the Azerbaijani military position in Tovuz region was shelled by the military forces of Armenia located in Berd and Chambarak, according to the ministry of defence of Azerbaijan [coded to Tovuz with GP2]. There is no information on casualties mentioned by the source. As of 3 March 2021, Azerbaijani forces announced 2881 fatalities, Armenian forces announced 3777 fatalities. Fatalities were not disaggregated according to locations or date. The previously-coded specific number of fatalities are subtracted from these overall numbers. Additionally, for the Armenian side, 72 civilian fatalities reported by the Artsakh Ombudsman were subtracted from the overall number of fatalities as fatalities announced by Armenian sources included civilians. Total of 5527 fatalities are split across 421 events (13 fatalities coded to 367 events, 14 fatalities coded to 54 events).",13,1615848040,AZE
7871349,31,AZE17014,17014,"08 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Azerbaijan (2003-)",,1,,,0,10,"Caucasus and Central Asia",Azerbaijan,Martuni,,,Khojavend,39.795,47.1117,1,Hetq,Regional,"On 8 November 2020, Martuni (Khojavend) city was shelled by Azerbaijani forces. There is no information on the casualties mentioned by the source.",0,1618598519,AZE
7746967,31,AZE17011,17011,"08 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Armenia (2018-)",,8,"Military Forces of Azerbaijan (2003-)",,1,18,"Caucasus and Central Asia",Azerbaijan,Dashkasan,,,Dashkasan,40.5212,46.0817,2,"AzVision; Aysor Am; Human Rights Ombudsman Of The Republic Of Artsakh; Ministry of Defence of Azerbaijan",Other-National,"On 8 November 2020, the Azerbaijani military position in Dashkasan region was shelled by the military forces of Armenia located in Berd, Vardenis and Noyemberyan, according to the ministry of defence of Azerbaijan [coded to Dashkasan with GP2]. There is no information on casualties mentioned by the source. As of 3 March 2021, Azerbaijani forces announced 2881 fatalities, Armenian forces announced 3777 fatalities. Fatalities were not disaggregated according to locations or date. The previously-coded specific number of fatalities are subtracted from these overall numbers. Additionally, for the Armenian side, 72 civilian fatalities reported by the Artsakh Ombudsman were subtracted from the overall number of fatalities as fatalities announced by Armenian sources included civilians. Total of 5527 fatalities are split across 421 events (13 fatalities coded to 367 events, 14 fatalities coded to 54 events).",13,1615848040,AZE
7746968,31,AZE17012,17012,"08 November 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Armenia (2018-)",,8,"Military Forces of Azerbaijan (2003-)",,1,18,"Caucasus and Central Asia",Azerbaijan,Agstafa,,,Gazakh,41.0929,45.3709,2,"Aysor Am; Human Rights Ombudsman Of The Republic Of Artsakh; Ministry of Defence of Azerbaijan; AzVision",Other-National,"On 8 November 2020, the Azerbaijani military position in Qazakh region was shelled by the military forces of Armenia located in Berd, Vardenis and Noyemberyan, according to the ministry of defence of Azerbaijan [coded to Gazakh with GP2]. There is no information on casualties mentioned by the source. As of 3 March 2021, Azerbaijani forces announced 2881 fatalities, Armenian forces announced 3777 fatalities. Fatalities were not disaggregated according to locations or date. The previously-coded specific number of fatalities are subtracted from these overall numbers. Additionally, for the Armenian side, 72 civilian fatalities reported by the Artsakh Ombudsman were subtracted from the overall number of fatalities as fatalities announced by Armenian sources included civilians. Total of 5527 fatalities are split across 421 events (13 fatalities coded to 367 events, 14 fatalities coded to 54 events).",13,1618495430,AZE
