RegionalMember,Year,GDP growth,Unit of Measurement, Subregion, Country Code
Afghanistan,2016,2.3,%,South Asia,AFG
Afghanistan,2017,2.6,%,South Asia,AFG
Afghanistan,2018,1.2,%,South Asia,AFG
Afghanistan,2019,3.9,%,South Asia,AFG
Afghanistan,2020,-5,%,South Asia,AFG
Afghanistan,2021 forecast,3,%,South Asia,AFG
Afghanistan,2022 forecast,4,%,South Asia,AFG
Armenia,2016,0.2,%,Central Asia,ARM
Armenia,2017,7.5,%,Central Asia,ARM
Armenia,2018,5.2,%,Central Asia,ARM
Armenia,2019,7.6,%,Central Asia,ARM
Armenia,2020,-7.6,%,Central Asia,ARM
Armenia,2021 forecast,1.8,%,Central Asia,ARM
Armenia,2022 forecast,3,%,Central Asia,ARM
Azerbaijan,2016,-3.1,%,Central Asia,AZE
Azerbaijan,2017,0.2,%,Central Asia,AZE
Azerbaijan,2018,1.5,%,Central Asia,AZE
Azerbaijan,2019,2.5,%,Central Asia,AZE
Azerbaijan,2020,-4.3,%,Central Asia,AZE
Azerbaijan,2021 forecast,1.9,%,Central Asia,AZE
Azerbaijan,2022 forecast,2.5,%,Central Asia,AZE
Bangladesh,2016,7.1,%,South Asia,BGD
Bangladesh,2017,7.3,%,South Asia,BGD
Bangladesh,2018,7.9,%,South Asia,BGD
Bangladesh,2019,8.2,%,South Asia,BGD
Bangladesh,2020,5.2,%,South Asia,BGD
Bangladesh,2021 forecast,6.8,%,South Asia,BGD
Bangladesh,2022 forecast,7.2,%,South Asia,BGD
Bhutan,2016,7.4,%,South Asia,BTN
Bhutan,2017,6.3,%,South Asia,BTN
Bhutan,2018,3.8,%,South Asia,BTN
Bhutan,2019,4.3,%,South Asia,BTN
Bhutan,2020,0.9,%,South Asia,BTN
Bhutan,2021 forecast,-3.4,%,South Asia,BTN
Bhutan,2022 forecast,3.7,%,South Asia,BTN
Brunei Darussalam,2016,-2.5,%,Southeast Asia,BRN
Brunei Darussalam,2017,1.3,%,Southeast Asia,BRN
Brunei Darussalam,2018,0.1,%,Southeast Asia,BRN
Brunei Darussalam,2019,3.9,%,Southeast Asia,BRN
Brunei Darussalam,2020,1.2,%,Southeast Asia,BRN
Brunei Darussalam,2021 forecast,2.5,%,Southeast Asia,BRN
Brunei Darussalam,2022 forecast,3,%,Southeast Asia,BRN
Cambodia,2016,7,%,Southeast Asia,KHM
Cambodia,2017,6.9,%,Southeast Asia,KHM
Cambodia,2018,7.5,%,Southeast Asia,KHM
Cambodia,2019,7.1,%,Southeast Asia,KHM
